mkt_unique_carrier,mkt_carrier,mkt_carrier_fl_num,op_unique_carrier,tail_num,op_carrier_fl_num,origin_airport_id,origin,dest_airport_id,dest,arr_delay,crs_elapsed_time,actual_elapsed_time,air_time,flights,distance,year,month,day_of_month,day_of_week,dep_hour_of_day,arr_hour_of_day,origin_state,destination_state,arr_delay_mean_by_mkt_unique_carrier,arr_delay_mean_by_op_unique_carrier,arr_delay_encoded,origin_dest_pair,quarter_Q1,quarter_Q2,quarter_Q3,quarter_Q4,dep_time_of_day_afternoon,dep_time_of_day_evening,dep_time_of_day_morning,dep_time_of_day_night,arr_time_of_day_afternoon,arr_time_of_day_evening,arr_time_of_day_morning,arr_time_of_day_night
3,3,3896,25,3178,3896,12953,LGA,11278,DCA,-12.0,83,69.0,42.0,1,214,2018,5,5,5,12,13,NY,DC,2.1440377343780463,2.0115089514066495,0,LGA-DCA,0,1,0,0,1,0,0,0,1,0,0,0
3,3,2414,18,1986,2414,10627,BIS,13487,MSP,-20.0,91,85.0,55.0,1,386,2019,8,17,5,12,14,ND,MN,2.1440377343780463,7.3318759936407,0,BIS-MSP,0,0,1,0,1,0,0,0,1,0,0,0
10,10,395,23,3627,395,14107,PHX,14908,SNA,10.0,80,61.0,51.0,1,338,2019,10,21,0,13,15,AZ,CA,2.438349885408711,2.438349885408711,1,PHX-SNA,0,0,0,1,1,0,0,0,1,0,0,0
3,3,991,7,3886,991,10994,CHS,10397,ATL,-12.0,73,69.0,42.0,1,259,2019,9,29,6,8,9,SC,GA,2.1440377343780463,-0.3018240950226244,0,CHS-ATL,0,0,1,0,0,0,1,0,0,0,1,0
0,0,1957,1,2867,1957,10397,ATL,11298,DFW,-15.0,153,144.0,116.0,1,731,2019,1,27,6,9,11,GA,TX,5.328595793064243,5.396409761887101,0,ATL-DFW,1,0,0,0,0,0,1,0,0,0,1,0
3,3,758,7,3302,758,15249,TLH,10397,ATL,-3.0,70,59.0,44.0,1,223,2019,1,25,4,15,16,FL,GA,2.1440377343780463,-0.3018240950226244,0,TLH-ATL,1,0,0,0,1,0,0,0,1,0,0,0
3,3,416,7,1000,416,12889,LAS,13487,MSP,-15.0,187,175.0,159.0,1,1299,2019,5,23,3,16,21,NV,MN,2.1440377343780463,-0.3018240950226244,0,LAS-MSP,0,1,0,0,1,0,0,0,0,1,0,0
8,8,2983,12,299,2983,13930,ORD,13230,MDT,-5.0,114,113.0,88.0,1,594,2019,5,29,2,14,16,IL,PA,10.231880437950128,13.775,0,ORD-MDT,0,1,0,0,1,0,0,0,1,0,0,0
8,8,2825,9,91,2825,12266,IAH,15376,TUS,-2.0,170,171.0,148.0,1,936,2018,3,16,4,12,13,TX,AZ,10.231880437950128,14.747020376778167,0,IAH-TUS,1,0,0,0,1,0,0,0,1,0,0,0
7,7,194,16,1613,194,11697,FLL,10158,ACY,-3.0,154,141.0,126.0,1,977,2019,9,8,6,21,23,FL,NJ,7.195728291316527,7.195728291316527,0,FLL-ACY,0,0,1,0,0,1,0,0,0,1,0,0
0,0,719,1,256,719,11298,DFW,10423,AUS,37.0,54,56.0,38.0,1,190,2018,6,3,6,21,22,TX,TX,5.328595793064243,5.396409761887101,1,DFW-AUS,0,1,0,0,0,1,0,0,0,1,0,0
1,1,270,2,697,270,14747,SEA,14831,SJC,-15.0,138,125.0,107.0,1,696,2018,1,19,4,8,11,WA,CA,1.3057672946929382,1.3225882352941176,0,SEA-SJC,1,0,0,0,0,0,1,0,0,0,1,0
8,8,3215,5,238,3215,12264,IAD,13230,MDT,-20.0,59,45.0,23.0,1,94,2018,12,9,6,22,22,DC,PA,10.231880437950128,24.96,0,IAD-MDT,0,0,0,1,0,1,0,0,0,1,0,0
